cod_art,nom_art,isbn,autor,cod_edito,cod_colecc,cod_tema,precio_1
9789804070068,LA DECISION JUSTA Y LA LUNA ENVIDIOSA,9789804070068,JOSE MIGUEL ROIG,133,001,184,10.0
9789804070075,SER AL DECIR,9789804070075,ALFREDO CHACON,133,001,206,5.0
9789804070082,LOS GOBIERNOS DE CARLOS ANDRES PEREZ,9789804070082,GUMERSINDO RODRIGUEZ,133,001,211,5.0
9789804070143,GEOGRAFIA LITERARIA DE VENEZUELA,9789804070143,VARIOS AUTORES,133,001,172,30.0
9789804070198,SIN MOVER LOS LABIOS,9789804070198,ALFREDO CHACON,133,001,206,5.0
9789804070204,FRAGMENTOS NARANJA,9789804070204,JOSE ANTONIO PARRA,133,001,206,6.0
9789804070211,39 GRADOS DE CIELO EN LA TIERRA,9789804070211,HERNAN ZAMORA,133,001,206,6.0
9789804070235,INTIMO EL ESPEJO,9789804070235,GRACIEALA YAÑEZ VICENTINI,133,001,206,6.0
9789804070242,DAÑO OCULTO,9789804070242,GEORGINA RAMIREZ,133,001,206,6.0
9789804070259,SOMBRA DE PARAISO,9789804070259,CLAUDIA SIERICH,133,001,206,6.0
9789804070280,DEMENCIA ,9789804070280,JOSE MIGUEL ROIG,133,001,198,8.0
9789804070310,VIDAS DE PERRO,9789804070310,MIRCO FERRARI,133,001,172,5.0
9789804070389,LA PUERTA QUE SE CIERA,9789804070389,MIRCO FERRARI,133,001,172,5.0
9789804070419,LA CORTEZA NO BASTA,9789804070419,SANDY JUHASZ,133,001,206,6.0
9789804070464,EL CUARTO DE LOS TEMBLORES,9789804070464,JACQUELINE GOLDBERG,133,001,138,12.0
9789804070471,CUERPO EN LA ORILLA,9789804070471,FLAVIA PESCI FELTRI,133,001,206,6.0
9789804070488,VIGILIA EN LA DESMESURA,9789804070488,HECTOR ANIBAL CALDERA,133,001,206,6.0
9789804070518,SALMOS DE LA PENURIA,9789804070518,SAMUEL GONZALEZ SEIJAS,133,001,206,6.0
9789804070532,BEBER DE LA SOMBRA,9789804070532,VICTOR FUENMAYOR,133,001,206,10.0
9789804070549,DOBLE VIAJE,9789804070549,ADRIANA GIBBSS,133,001,206,6.0
9789804070563,TIEMPO AÑIL,9789804070563,KARLA CASTRO B ,133,001,206,6.0
9789804070570,VIAJE DESNUDO,9789804070570,TINA OLIVEIRA,133,001,206,6.0
